#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_HUNGARY;Hungary-Croatia;Hongrie-Croatie;Ungarn-Kroatien;;Hungría-Croacia;;;;;x,,,,,,,,,,,,,
BM_SICILY_DESC;Richard the Lionheart and Philippe II Auguste stare daggers at one another across the Channel. Through inheritance, bribery, betrayal, and timely conquest the kings of England have been able to occupy well over half of the lands claimed by the French kings, and stand dangerously close to claiming the French crown. Philippe II, known to history as Auguste (Augustus or 'the August'), the monarch that reversed the English conquests and restored French unity and prestige, seems to be in an impossible position--can you replicate his incredible feats? Elsewhere in the world, the Emperor of the Holy Roman Empire has claimed the Kingdom of Sicily as his dynastic birthright.;Richard Cœur de Lion et Philippe Auguste II regardent poignards à l'autre côté de la Manche. Grâce à l'héritage, la corruption, la trahison, et la conquête en temps opportun les rois d'Angleterre ont pu ainsi occuper plus de la moitié des terres revendiquées par les rois de France, et se rapproche dangereusement de réclamer la couronne française. Philippe II, connu dans l'histoire comme Auguste (Auguste ou «Août»), le monarque qui a renversé les conquêtes anglaises et restauré l'unité et le prestige français, semble être dans une situation impossible - pouvez-vous reproduire ses exploits incroyables? Ailleurs dans le monde, l'empereur du Saint Empire romain germanique a revendiqué le royaume de Sicile comme son droit d'aînesse dynastique.;Richard Löwenherz und Philippe II Auguste Dolche starren einander über den Kanal. Durch Vererbung, Bestechung, Verrat, und zeitnahe Eroberung die Könige von England in der Lage, weit über die Hälfte der Ländereien von den Französisch Könige behaupteten besetzen und stehen gefährlich nahe auf die Inanspruchnahme des Französisch Krone. Philippe II, die Geschichte als Auguste (Augustus oder "August"), dem Monarchen, die die englischen Eroberungen wieder umgekehrt und Französisch Einheit und Prestige bekannt ist, scheint sich in eine unmögliche Lage sein - man kann seine unglaubliche Kunststücke zu replizieren? Anderswo in der Welt, hat der Kaiser des Heiligen Römischen Reiches das Königreich Sizilien als seine dynastischen Geburtsrecht ist.;;Ricardo Corazón de León y Felipe II Augusto miran puñales unos a otros a través del Canal. A través de la herencia, el soborno, la traición, y la conquista oportuna los reyes de Inglaterra han sido capaz de ocupar más de la mitad de las tierras reclamadas por los reyes de Francia, y de pie peligrosamente a reclamar la corona francesa. Philippe II, conocido en la historia como Auguste (Augustus o 'el agosto'), el monarca que revirtió las conquistas inglesas y restauró la unidad francesa y prestigio, parece estar en una posición imposible - se puede replicar sus increíbles hazañas? En otras partes del mundo, el emperador del Sacro Imperio Romano ha reclamado el Reino de Sicilia como su derecho de nacimiento de la dinastía.;;;;;x,,,,,
BM_ALEXIOS;Alexios Komnenos of Trebizond;Alexis Comnène de Trébizonde;Alexios Komnenos von Trapezunt;;Alejo Comneno de Trebisonda;;;;;x,,,,,,,,,,,,,
BM_ALEXIOS_DESC;Alexios Komnenos, one of the last remaining members of the Komnenos dynasty, now reigns in his majority in Trebizond. Alexios shares the determination and skill common in his family, and has managed not only to hold Trebizond together in the face of Muslim aggression, but to expand his territory and crown himself Despot. He has not forgotten his claim to the Byzantine Empire, nor has he forgotten his dynasty's golden age upon the throne, lost now to Imperial incompetence and the shameful Fourth Crusade but perhaps not lost forever. Now is the time for the Komnenoi to reclaim their titles, their honor, their birthright. Now is the time for the return of the rightful Emperors!;Alexis Comnène, l'un des derniers membres de la dynastie Comnène, règne maintenant dans sa majorité à Trébizonde. Alexis part la détermination et la compétence commune dans sa famille, et a réussi non seulement à maintenir Trébizonde ensemble face à l'agression musulmane, mais d'étendre son territoire et la couronne se despote. Il n'a pas oublié sa demande à l'Empire byzantin, pas plus qu'il n'a oublié l'âge d'or de sa dynastie sur le trône, perdu maintenant à l'incompétence Imperial et la quatrième croisade honteuse mais peut-être pas perdu pour toujours. Il est maintenant temps pour le Comnènes à récupérer leurs titres, de leur honneur, de leur droit d'aînesse. Il est maintenant temps pour le retour des empereurs légitimes!;Alexios Komnenos, einem der letzten verbliebenen Mitglieder der Komnenos Dynastie regiert jetzt in seiner Mehrheit in Trapezunt. Alexios teilt die Entschlossenheit und die Fähigkeit gemeinsam in der Familie, und hat es geschafft, nicht nur Trapezunt zusammen in das Gesicht der muslimischen Aggression zu halten, aber um sein Gebiet zu erweitern und sich selbst krönen Despot. Er hat nicht vergessen, seinen Anspruch auf das Byzantinische Reich, noch hat er vergessen goldene Zeitalter seiner Dynastie auf dem Thron, verlor jetzt Imperial Inkompetenz und der schändlichen Vierten Kreuzzugs, aber vielleicht nicht für immer verloren. Jetzt ist die Zeit für die Komnenoi, ihre Titel, ihre Ehre, ihr Geburtsrecht zurückfordern. Jetzt ist die Zeit für die Rückkehr der rechtmäßigen Kaiser!;;Alejo Comneno, uno de los últimos miembros de la dinastía Comneno, reina ahora en su mayoría en Trebisonda. Alexios comparte la determinación y la habilidad común en su familia, y ha logrado no sólo mantener Trebisonda juntos en el frente a la agresión musulmana, pero para expandir su territorio y coronarse déspota. Él no se ha olvidado de su demanda al Imperio Bizantino, ni ha olvidado la época dorada de su dinastía en el trono, perdido ahora a la incompetencia Imperial y la Cuarta Cruzada vergonzosa, pero tal vez no se pierde para siempre. Ahora es el momento para la Komnenoi para reclamar sus títulos, su honor, sus derechos de nacimiento. Ahora es el tiempo para el retorno de los emperadores legítimos!;;;;;x,,,,,
BM_ANUSHTIGINID;The Seljuk Successors;Les successeurs des Seldjoukides;Die Seldschuken Nachfolger;;Los Sucesores selyúcidas;;;;;x,,,,,,,,,,,,,
BM_ANUSHTIGINID_DESC;The Anushtiginid Sultanate has finally restored a degree of order to Persia by defeating the house of Ghurid and exiling the upstart state of Rajastan to the Indian subcontinent, finally cementing their claim on Persia and uniting the country in as stable a political union as has been seen since the collapse of the Seljuks over 50 years before. In spite of great success, maintaining their hold might not be as easy for house Anushtiginid as it was to gain it. Discontented vassals, the furious exile-Shahdom of Rajastan, and curious rumors of riders to the east are enough to keep any wise Sultan awake through the long nights.;Le Anushtiginid Sultanat a finalement restauré un peu d'ordre dans la Perse en battant la maison de ghoride et exiler l'état de Rajasthan parvenu à le sous-continent indien, enfin cimenter leur revendication sur la Perse et l'unification du pays en tant que stable d'une union politique comme on l'a vu depuis la chute des Seldjoukides plus de 50 ans avant. En dépit d'une grande réussite, le maintien de leur attente ne sera pas aussi facile pour la maison Anushtiginid comme il était à gagner. Vassaux mécontents, furieux exil Shahdom de Rajastan, et curieux des rumeurs de coureurs à l'est sont assez pour garder une sage Sultan éveillé par les longues nuits.;Die Anushtiginid Sultanat hat endlich wieder eine gewisse Ordnung nach Persien besiegte das Haus Ghurid und verbannte den Emporkömmling Zustand Rajastan auf den indischen Subkontinent, schließlich festigen ihren Anspruch auf Persien und vereinen das Land als stabile politische Union wie man gesehen hat seit dem Zusammenbruch der Seldschuken über 50 Jahre vor. Trotz großer Erfolg, könnte die Aufrechterhaltung ihrer Halte nicht so einfach, für Haus Anushtiginid, wie es war, um es zu gewinnen. Unzufriedene Vasallen, der wütende Exil-Shahdom von Rajastan, und neugierig Gerüchte von Reitern im Osten sind genug, um jede kluge Sultan wach durch die langen Nächte.;;El Anushtiginid Sultanato finalmente ha restaurado un grado de orden a Persia al derrotar a la casa de gurí y desterrando el estado de Rajastan advenedizo en el subcontinente indio, finalmente cimentar su reclamación en Persia y unir al país en lo más estable una unión política como se ha visto desde el colapso de los selyúcidas de más de 50 años antes. A pesar del gran éxito, manteniendo su control podría no ser tan fácil para la casa Anushtiginid como lo fue para ganarlo. Vasallos descontentos, la furiosa exilio-Shahdom de Rajastan, y rumores curiosos de los corredores hacia el este son suficientes para mantener cualquier sabio sultán despierto durante las largas noches.;;;;;x,,,,,,,,,
BM_MALI;Mali United;Mali Unies;Mali Groß;;Mali Estados;;;;;x,,,,,,,,,,,,,
BM_MALI_DESC;The lands that would come to be known as the Empire of Mali have been united under its first Mansa. What this means for the future, and for the safety of the Mauretanian Sultan's southern border, remains to be seen.;Les terres qui viendraient à être connu comme l'Empire du Mali ont été réunis sous sa première Mansa. Ce que cela signifie pour l'avenir, et pour la sécurité de la frontière sud de la Mauretanian Sultan, reste à voir.;Die Länder, die kommen würden, als Reich von Mali bekannt haben unter seinem ersten Mansa vereint. Was bedeutet dies für die Zukunft und für die Sicherheit der südlichen Grenze des mauretanischen Sultans, bleibt abzuwarten.;;Las tierras que vendrían a ser conocido como el Imperio de Malí se han unido bajo su primer Mansa. ¿Qué significa esto para el futuro, y por la seguridad de la frontera sur de la mauritano Sultan, aún está por verse.;;;;;x,,,,,,,,,,,
BM_NAPLES;The Sicilian Vespers;Vêpres siciliennes;Die sizilianische Vesper;;El Vísperas Sicilianas;;;;;x,,,,,,,,,,,,,
BM_NAPLES_DESC;In the bloody aftermath of the Sicilian Vespers, a war in which the Aragonese King attempted to assert his claim to the Kingdom of Sicily, the southern Italian peninsula is divided. The Kingdom of Trinacria has been proclaimed on the island of Sicily, with the brother of the Aragonese King ruling, and claiming rights to the entirety of the kingdom. On the mainland, the old king of Sicily, now absent his title's namesake, has instead crowned himself the King of Naples, and looks with jealousy on the island that should by rights be his. Both sides of the conflict have powerful allies, the king of Trinacria protected by the Kings of Aragon and Castille, and the king of Naples supported by Hungary-Croatia--a new war will not be an easy one. Also on the Iberian peninsula, Philippe IV Capet has come to inherit the Kingdom of Navarra, and can likewise be counted in the Iberian struggle. Who will move when, and what will they move against?;À la suite sanglante des Vêpres siciliennes, une guerre dans laquelle le roi aragonais a tenté de faire valoir son droit à l'Uni de la Sicile, le sud de la péninsule italienne est divisée. Le Royaume de Trinacria a été proclamé sur l'île de Sicile, avec le frère de la décision aragonais roi, et revendiquer des droits à l'ensemble du royaume. Sur le continent, le vieux roi de Sicile, actuellement absent homonyme de son titre, a la place se fait couronner roi de Naples, et regarde avec jalousie sur l'île qui devrait être son par des droits. Les deux parties au conflit ont de puissants alliés, le roi de Trinacria protégés par les rois d'Aragon et de Castille, et le roi de Naples appuyé par la Hongrie et la Croatie - une nouvelle guerre ne sera pas une tâche facile. Également sur ​​la péninsule ibérique, Philippe IV Capet a rejoint hériter le royaume de Navarre, et peut également être pris en compte dans la lutte ibérique. Qui se déplace lorsque, et que vont-ils aller contre?;In der blutigen Nachwirkungen der Sizilianischen Vesper, ein Krieg, in dem der aragonesischen König versucht, seinen Anspruch auf das Königreich Sizilien zu behaupten, wird der süditalienischen Halbinsel unterteilt. Das Königreich Trinacria hat auf der Insel Sizilien verkündet worden ist, mit dem Bruder des aragonesischen Königs Urteil und behauptet, Rechte an der Gesamtheit des Königreichs. Auf dem Festland, der alte König von Sizilien, jetzt in Abwesenheit seines Titelnamensvetter , hat stattdessen krönte sich der König von Neapel, und blickt mit Neid auf der Insel, die durch Rechte sein sollte, die seine. Beide Seiten des Konflikts haben mächtige Verbündete, den König von Trinacria durch die Könige von Aragon und Kastilien geschützt, und der König von Neapel, die Ungarn-Kroatien unterstützt - ein neuer Krieg wird nicht leicht sein. Auch auf der iberischen Halbinsel, hat Philippe IV Capet gekommen, um das Königreich Navarra erben, und kann ebenfalls auf der iberischen Kampf gezählt werden. Wer wird zu bewegen, wenn, und was wird sie gegen bewegen?;;En la sangrienta secuela de las Vísperas Sicilianas, una guerra en la que el rey aragonés trató de hacer valer su derecho al reino de Sicilia, la península del sur de Italia se divide. El Reino de Trinacria se ha proclamado en la isla de Sicilia, con el hermano del gobernante rey aragonés, y reclamar los derechos a la totalidad del reino. En el continente, el antiguo rey de Sicilia, ahora ausente del mismo nombre de su título, en cambio, ha coronado a sí mismo el rey de Nápoles, y mira con celos en la isla que debe por derechos de ser suya. Ambas partes del conflicto tienen poderosos aliados, el rey de Trinacria protegida por los reyes de Aragón y Castilla, y el rey de Nápoles con el apoyo de Hungría-Croacia - una nueva guerra no va a ser fácil. También en la península ibérica, Philippe IV Capeto ha llegado a heredar el Reino de Navarra, y del mismo modo se puede contar en la lucha Ibérica. ¿Quién va a mover cuando, y lo que se mueva en contra?;;;;;x
BM_ILKHANATE;The Ilkhanate Converts!;Les convertis Ilkhanate!;Die Ilkhanate Konvertiert!;;Los Conversos Ilkhanate!;;;;;x,,,,,,,,,,,,,
BM_ILKHANATE_DESC;The Ilkhanate's Khan has converted to Shia Islam!;Khan de la Ilkhanate s'est converti à l'islam chiite!;Die Ilkhanate Khan hat schiitischen Islam konvertiert!;;Khan del Ilkhanate se ha convertido al Islam chiíta!;;;;;x,,,,,,,,,,,,,
BM_POLAND;The Polish-Bohemian Union;L'Union polono-Bohemian;Der polnisch-böhmische Union;;La Unión Polaca de Bohemia;;;;;x,,,,,,,,,,,,,
BM_POLAND_DESC;Due to the untimely death of the Polish monarch without a favorable heir, Vaclav II Premyslid of Bohemia has been crowned king in place of another Piast. This gives Vaclav--heir to Ottokar, and all the desire for revenge against the von Hohenstauffens that comes with being his son--a great deal of power in Europe. If Vaclav is given time to consolidate and expand it is unlikely the Holy Roman Empire will ever be able to reassert its authority over Bohemia, with its control of the Italian peninsula already crumbling. The time to move is now!;En raison de la mort prématurée du roi de Pologne sans héritier favorable, Vaclav II Premyslid de Bohême a été couronné roi à la place d'un autre Piast. Cela donne Vaclav - héritier Ottokar, et tout le désir de vengeance contre le von Hohenstauffens qui vient d'être son fils - beaucoup de puissance en Europe. Si Vaclav est donné le temps de consolider et de développer, il est peu probable que le Saint-Empire romain ne sera jamais en mesure de réaffirmer son autorité sur la Bohême, avec son contrôle de la péninsule italienne déjà en ruine. Le temps de passer, c'est maintenant!;Durch den frühen Tod des polnischen Monarchen ohne einem günstigen Erben, Vaclav II. Přemysl von Böhmen gekrönt wurde König an Stelle von anderen Piast. Dies gibt Vaclav - Erben Ottokar, und alle der Wunsch nach Rache gegen die von Hohenstauffens die mit Sein Sohn kommt - eine große Macht in Europa. Wenn Vaclav ist Zeit zu festigen und auszubauen gegeben ist es unwahrscheinlich, das Heilige Römische Reich jemals in der Lage, seine Autorität über Böhmen wieder zu behaupten, mit seiner Steuer der italienischen Halbinsel bereits bröckelt sein. Die Zeit, sich jetzt!;;Debido a la prematura muerte del monarca polaco sin un heredero favorable, Vaclav II Premyslidas de Bohemia ha sido coronado rey en lugar de otro Piast. Esto le da a Vaclav - heredero de Ottokar, y todo el deseo de venganza contra el von Hohenstauffens que viene con ser su hijo - una gran cantidad de poder en Europa. Si Vaclav se le da tiempo para consolidar y ampliar, es poco probable que el Sacro Imperio Romano será nunca capaz de reafirmar su autoridad sobre Bohemia, con su control de la península italiana ya en ruinas. El momento de pasar es ahora!;;;;;x,,,,,,,,,,
BM_GH;The Golden Horde Converts!;Les convertis Horde d'Or!;Die Goldene Horde Konvertiert!;;Los Conversos Horda de Oro!;;;;;x,,,,,,,,,,,,,
BM_GH_DESC;The Khan of the Golden Horde has converted to Sunni Islam!;Le Khan de la Horde d'Or s'est converti à l'islam sunnite!;Der Khan der Goldenen Horde hat zum sunnitischen Islam konvertiert!;;El Khan de la Horda de Oro se ha convertido al Islam sunita!;;;;;x,,,,,,,,,,,,,
BM_LITHUANIA_FORMED;Lithuania Unites!;Lituanie-Unis!;Litauen verbindet!;;Lituania Unites!;;;;;x,,,,,,,,,,,,,
BM_LITHUANIA_FORMED_DESC;With the Teutonic Order occupying their historic lands in the West and the Golden Horde destroying the Rurikovich to the East, the myriad tribes of Lithuania have finally seen fit to unite under one king for their better protection, by necessity. Mindaugas I is a strong ruler, but his kingdom is not. Lacking many of his historic lands, those having been usurped by the Teutonic Order, and being only a few petty duchies away from a full border with the Golden Horde, his fitness will be tested in the coming days. Not only does Lithuania have a vassalage of mixed religions, some Romuva and some Catholic, Mindaugas's own children are divided in their worship even from his own faith, with his son and heir Vaisvilkas an Orthodox Christian and his second son Daumantas a Romuvan. To secure his lands and carve a future for the Lithuanian people, Mindaugas must calm the religious tension in his realm while seeking alliances to help him in recovering his people's ancestral land. For Lietuva!;Avec l'Ordre teutonique occupant leurs terres historiques de l'Ouest et la Horde d'Or détruire la Rurikovich à l'Est, les tribus myriade de Lituanie ont finalement jugé bon de réunir sous un même roi pour leur meilleure protection, par nécessité. Mindaugas I est un dirigeant fort, mais son royaume n'est pas. Faute de beaucoup de ses terres historiques, ceux qui ont été usurpés par l'Ordre Teutonique, et étant seulement quelques petits duchés loin d'une frontière pleine de la Horde d'Or, son aptitude seront testés dans les prochains jours. Non seulement la Lituanie ne possède une vassalité de religions mixtes, certains Romuva et certains catholiques, les enfants de Mindaugas sont divisés dans leur culte même de sa foi, avec son fils et héritier Vaisvilkas un chrétien orthodoxe et son second fils Daumantas un Romuvan. Pour sécuriser ses terres et de se tailler un avenir pour le peuple lituanien, Mindaugas doit calmer la tension religieuse dans son royaume, tout en recherchant des alliances pour l'aider à récupérer les terres ancestrales de son peuple. Pour Lietuva!;Mit der Deutsche Orden besetzen ihre historischen Länder im Westen und die Goldene Horde Zerstörung der Rurikovich im Osten, haben die unzähligen Stämme Litauen endlich fit zu unter einem König für ihre besseren Schutz vereinen, durch die Notwendigkeit gesehen. Mindaugas I ist ein starker Herrscher, aber sein Reich ist nicht. Ohne viele seiner historischen Länder, nachdem die von der Deutschordens gerissen worden, und da nur ein paar Kleinherzogtümer entfernt von einer vollständigen Grenze mit der Goldenen Horde, wird seine Fitness in den nächsten Tagen getestet werden. Nicht nur, dass Litauen einen Vasallen von gemischten Religionen, einige Romuva und einige katholische, sind Mindaugas die eigenen Kinder in ihrer Anbetung sogar von seinen eigenen Glauben geteilt, mit seinem Sohn und Erben Vaisvilkas orthodoxer Christ und sein zweiter Sohn Daumantas eine Romuvan. Um sein Land zu sichern und zu schnitzen eine Zukunft für den litauischen Menschen müssen Mindaugas die religiösen Spannungen in seinem Reich zu beruhigen während der Suche nach Allianzen, um ihm bei der Wiederherstellung seines Volkes angestammten Land zu helfen. Für Lietuva!;;Con la Orden Teutónica ocupando sus tierras históricas en el oeste y la Horda de Oro destruir el Rurikovich hacia el Este, las tribus innumerables de Lituania finalmente han tenido a bien unirse bajo un rey para su mejor protección, por necesidad. Mindaugas I es un gobernante fuerte, pero su reino no es así. Al carecer de muchos de sus tierras históricas, aquellos que han sido usurpados por la Orden Teutónica, y siendo sólo unos pocos ducados pequeños lejos de una frontera completa con la Horda de Oro, su estado de forma se pondrá a prueba en los próximos días. No sólo Lituania tiene un vasallaje de religiones mixtas, algunas Romuva y algunos católicos, los propios hijos de Mindaugas están divididos en su adoración, incluso de su propia fe, con su hijo y heredero Vaišvilkas un cristiano ortodoxo y su segundo hijo Daumantas un Romuvan. Para proteger sus tierras y labrarse un futuro para el pueblo lituano Mindaugas debe calmar la tensión religiosa en su reino, mientras que la búsqueda de alianzas para ayudarlo en la recuperación de tierras ancestrales de su pueblo. Para Lietuva!;;;;;x,,,
BM_MONGOL_SPLIT;The Golden Horde and Ilkhanate;La Horde d'Or et Ilkhanate;Die Goldene Horde und Ilkhanate;;La Horda de Oro y Ilkhanate;;;;;x,,,,,,,,,,,,,
BM_MONGOL_SPLIT_DESC;Following the death of the great Khan Ghengis, his realm has split between his heirs. His grandson Batu rules in the north as the Golden Horde, while his youngest son Tolui rules in the south as the Ilkhanate. Although the division of these realms may well make the Mongol menace weaker on the offensive, their dynastic alliance will certainly make what lands they have already claimed nigh-impenetrable.;Après la mort de Gengis Khan le grand, son royaume s'est divisé entre ses héritiers. Son petit-fils règles de Batu dans le nord de la Horde d'Or, tandis que son plus jeune fils Tolui règles dans le sud de la Ilkhanate. Bien que la division de ces domaines peut bien faire la menace mongole plus faible sur l'offensive, leur alliance dynastique fera certainement ce terres qu'ils ont déjà fait presque impénétrable.;Nach dem Tod des großen Dschingis Khan, hat sein Reich zwischen seinen Erben aufgeteilt. Sein Enkel Batu Regeln im Norden der Goldenen Horde, während sein jüngster Sohn Tolui Regeln im Süden als Ilkhanate. Obwohl die Aufteilung dieser Bereiche kann auch die mongolischen Bedrohung schwächer in die Offensive zu machen, wird ihre dynastische Verbindung sicher zu machen, was landet sie schon fast undurchdringliche wird.;;A raíz de la muerte del gran Khan Ghengis, su reino se ha dividido entre sus herederos. Su nieto reglas de Batu en el norte como la Horda de Oro, mientras que las reglas a su hijo menor Tolui en el sur como Ilkhanate. Aunque la división de estos reinos bien puede hacer que la amenaza mongola más débil a la ofensiva, su alianza dinástica sin duda hará lo que las tierras que ya han afirmado-casi impenetrable.;;;;;x,,,,,,,,,,
BM_TWO_ERIKS;The War of the Two Eriks;La guerre des Deux Eriks;Der Krieg der Zwei Eriks;;La Guerra de las Dos Eriks;;;;;x,,,,,,,,,,,,,
BM_TWO_ERIKS_DESC;On the death of King Stenkil I, his son Erik ascended the throne of Sweden as Erik II. As soon as the young Erik II ascended the throne, Erik III of Uppland declared a war to place himself, youngest--and bastard--son of King Emundr I, on the throne in a conflict which would come to be known as the War of the Two Eriks. Erik II is Catholic, whereas Erik III is Norse, one of the last living remnants of the old faith. Can Erik III restore the Norse religion and the rule of his house to a land that has abandoned both?;A la mort du roi Stenkil I, son fils Erik monta sur le trône de Suède, Erik II. Dès que le jeune Erik II monta sur le trône, Erik III de Uppland déclaré une guerre à se placer, le plus jeune - et bâtard - fils du roi Emundr I, sur le trône dans un conflit qui viendrait à être connue sous le nom de guerre des Deux Eriks. Erik II est catholique, alors que Erik III est nordique, l'un des derniers vestiges de vie de l'ancienne foi. Erik III peut restaurer la religion nordique et l'état de sa maison dans un pays qui a abandonné les deux?;Nach dem Tod von König Stenkil ich, sein Sohn Erik auf den Thron von Schweden als Erik II. Sobald der junge Erik II. den Thron bestieg, Erik III Uppland erklärt, einen Krieg, um sich zu platzieren, der jüngste - und Bastard - Sohn von König Emundr I, der auf dem Thron in einem Konflikt, der kommen würde, um als Krieg bekannt werden Zwei der Eriks. Erik II ist katholisch, während Erik III ist Norse, einer der letzten lebenden Reste des alten Glaubens. Kann Erik III wieder die nordische Religion und die Herrschaft der sein Haus in ein Land, das sowohl aufgegeben hat?;;A la muerte del rey Stenkil I, su hijo Erik subió al trono de Suecia, Erik II. Tan pronto como el joven Erik II ascendió al trono, Erik III de Uppland declaró una guerra para poner a sí mismo, más joven - y bastardo - hijo del rey Emundr I, en el trono en un conflicto que vendría a ser conocido como la Guerra de las Dos Eriks. Erik II es católica, mientras que Erik III es nórdica, uno de los últimos vestigios de vida de la antigua fe. Puede Erik III restaurar la religión nórdica y el Estado de su casa a una tierra que ha abandonado las dos cosas?;;;;;x,,,,,,,
BM_SARTAQ_KHAN;Sartaq Khan the Nestorian;Sartaq Khan nestorien;Sartaq Khan der nestorianische;;Sartaq Khan la nestoriana;;;;;x,,,,,,,,,,,,,
BM_SARTAQ_KHAN_DESC;Sartaq Khan has become Khagan of the Golden Horde, but his reign is unstable and almost certainly doomed to fail. Sartaq is a Nestorian Christian, a heathen to his fellow Mongols and a heretic to his Orthodox vassals. There is minimal support for his reign throughout the Golden Horde but perhaps there need not be. Realms that have been battered by warfare, either by the Horde itself or other Muslims, will inevitably look toward Sartaq's ascension--heretic or not--as a beacon in a time of darkness. If Sartaq can retain his rule long enough to form marriage ties with strong European realms, his rule and his faith might be beaten into his reluctant vassals.;Sartaq Khan est devenu Khagan de la Horde d'Or, mais son règne est instable et presque certainement vouée à l'échec. Sartaq est un chrétien nestorien, un païen à ses collègues Mongols et un hérétique à ses vassaux orthodoxes. Il est un soutien minimal pour son règne tout au long de la Horde d'Or, mais peut-être il n'a pas besoin d'être. Realms qui ont été battues par la guerre, soit par lui-même ou la Horde d'autres musulmans, vont inévitablement se tourner vers l'ascension de Sartaq - hérétique ou non - comme un phare dans un temps de ténèbres. Si Sartaq peut conserver son pouvoir assez longtemps pour former des liens de mariage avec de fortes royaumes européens, sa règle et sa foi pourrait être battu dans ses vassaux récalcitrants.;Sartaq Khan hat sich Khagan der Goldenen Horde, aber seine Regierung ist instabil und fast sicher zum Scheitern verurteilt. Sartaq ist eine nestorianische Christen, ein Heide, um seinen Mitmenschen Mongolen und ein Ketzer zu seinen orthodoxen Vasallen. Es gibt nur minimale Unterstützung für seine Regierung während der Goldenen Horde, aber vielleicht gibt es müssen nicht sein. Realms, die durch den Krieg zerschlagen wurden, entweder von der Horde selbst oder andere Muslime, wird unweigerlich in Richtung Sartaq Himmelfahrt aussehen - Ketzer oder nicht - wie ein Leuchtfeuer in einer Zeit der Finsternis. Wenn Sartaq kann seine Regel lang genug, um die Ehe Beziehungen mit starken europäischen Realms, seine Herrschaft und sein Glaube vielleicht nur ungern in seine Vasallen bilden geschlagen werden beibehalten.;;Sartaq Khan se ha convertido en Khagan de la Horda de Oro, pero su reinado es inestable y casi con seguridad condenado al fracaso. Sartaq es un cristiano nestoriano, un pagano a sus compañeros de mongoles y hereje a sus vasallos ortodoxos. Existe un apoyo mínimo para su reinado en toda la Horda de Oro, pero tal vez no es necesario ser. Reinos que han sido golpeadas por la guerra, ya sea por la propia Horda o de otros musulmanes, inevitablemente, mirar hacia la ascensión de Sartaq - hereje o no - como un faro en un tiempo de oscuridad. Si Sartaq puede retener su gobierno el tiempo suficiente para formar lazos matrimoniales con fuertes reinos europeos, su gobierno y su fe podría ser derrotado en sus vasallos renuentes.;;;;;x,,,,,,,,
BM_RAJASTAN;The Formation of Rajastan;La formation du Rajastan;Die Bildung von Rajastan;;La formación de Rajastan;;;;;x,,,,,,,,,,,,,
BM_RAJASTAN_DESC;The struggle for the crown of Perisa continues, and indeed has come to a head. Only two strong powers have survived to fight for the throne, but their contest has just changed radically. Shahanshah Ghiyath Ghurid, the same ex-Satrap who had declared independence from the decaying Seljuk Sultanate over 30 years before, has proclaimed himself ruler of a united Empire of Rajastan, a move that could signal many things to his primary rival, Ibrahim Qarakhanid of Khiva. Does the new Shahanshah intend to give up on Persia for the riches of India, or is this simply a way to gain more support for his continuing struggle with Ibrahim?;La lutte pour la couronne de Perisa continue, et en effet est venu à une tête. Seuls deux pouvoirs forts ont survécu à se battre pour le trône, mais leur concours vient radicalement changé. Shahanshah Ghiyath ghoride, la même ex-satrape qui avait déclaré l'indépendance de la décomposition seldjoukide Sultanat plus de 30 ans avant, s'est proclamé souverain d'un empire unifié de Rajastan, un mouvement qui pourrait signaler beaucoup de choses à son principal rival, Ibrahim Qarakhanides de Khiva . Est-ce que la nouvelle Shahanshah l'intention de renoncer à la Perse pour les richesses de l'Inde, ou est-ce simplement un moyen de gagner plus de soutien pour sa lutte continue avec Ibrahim?;Der Kampf um die Krone des Perisa geht weiter, und in der Tat hat sich zu einem Kopf zu kommen. Nur zwei starke Mächte haben überlebt, um den Thron zu kämpfen, aber ihre Wettbewerbs hat gerade radikal verändert. Shahanshah Ghiyath Ghurid, die gleiche Ab-Satrapen, die Unabhängigkeit von der verfallenden Seldschuken Sultanat über 30 Jahre, bevor erklärt hatte, hat sich Herrscher eines geeinten Reiches von Rajastan verkündet, ein Schritt, der viele Dinge zu seinen primären Rivalen, Ibrahim Karachaniden von Chiwa signalisieren könnte . Hat die neue Shahanshah beabsichtigen, sich auf Persien aufgeben für den Reichtum von Indien, oder ist das einfach nur ein Weg, um mehr Unterstützung für seine anhaltenden Kampf mit Ibrahim zu gewinnen?;;La lucha por la corona de Perisa continúa, y de hecho ha llegado a un punto crítico. Sólo dos potencias más fuertes han sobrevivido para luchar por el trono, pero su concurso apenas ha cambiado radicalmente. Shahanshah Ghiyath gurí, el mismo ex sátrapa que había declarado su independencia de la descomposición sultanato selyúcida de más de 30 años antes, se ha proclamado a sí mismo gobernante de un imperio unido de Rajastan, una medida que podría indicar muchas cosas a su principal rival, Ibrahim Qarakhanid de Khiva . ¿Se propone el nuevo Shahanshah a renunciar a Persia por las riquezas de la India, o se trata simplemente de una manera de ganar más apoyo para su lucha continua con Ibrahim?;;;;;x,,,,,,
BM_PERSIAN_STRUGGLE;The Struggle for Persia;La lutte pour la Perse;Der Kampf um Persien;;La lucha por la Persia;;;;;x,,,,,,,,,,,,,
